ParentID,ID
971,2971
972,2972
973,2973
974,2974
975,2975
976,2976
977,2977
978,2978
979,2979
980,2980
981,2981
982,2982
983,2983
984,2984
985,2985
986,2986
987,2987
988,2988
989,2989
990,2990
991,2991
992,2992
993,2993
994,2994
995,2995
996,2996
997,2997
998,2998
999,2999
1000,3000
1001,3001
1002,3002
1003,3003
1004,3004
1005,3005
1006,3006
1007,3007
1008,3008
1009,3009
1010,3010
1011,3011
1012,3012
1013,3013
1014,3014
1015,3015
1016,3016
1017,3017
1018,3018
1019,3019
1020,3020
1021,3021
1022,3022
1023,3023
1024,3024
1025,3025
1026,3026
1027,3027
